scenario,world_seed,agent_seed,strategy,n_channels,n_slots,slot_duration_s,total_scans,total_detections,true_positive_scans,false_positive_scans,on_target_scans,redundant_scans,n_activity_intervals,n_detected_intervals,n_missed_intervals,n_missed_never_scanned,n_missed_detector,n_censored_intervals,detection_rate,missed_detection_rate,on_target_scan_rate,scan_efficiency,redundant_scan_rate,mean_detection_delay_slots,median_detection_delay_slots,max_detection_delay_slots,time_to_first_detection_slots,emerging_discovery_delay_slots,emerging_discovery_censored,channels_covered,channel_coverage,coverage_time_slots,mean_decision_latency_ms,mean_detection_delay_s,time_to_first_detection_s,emerging_discovery_delay_s,noise_tier
normal_noise_high,5,5,adaptive,12,800,0.1,800,339,260,79,306,74,57,27,30,29,1,1,0.47368421052631576,0.5263157894736842,0.3825,0.325,0.0925,3.4074074074074074,3.0,16,5,,False,12,1.0,11,1.0971752498517162,0.3407407407407408,0.5,,high
normal_noise_high,6,6,sequential,12,800,0.1,800,148,60,88,68,0,69,34,35,32,3,0,0.4927536231884058,0.5072463768115942,0.085,0.075,0.0,4.735294117647059,4.5,18,2,,False,12,1.0,11,0.00024462460714858025,0.4735294117647059,0.2,,high
normal_noise_high,6,6,random,12,800,0.1,800,168,54,114,62,183,69,27,42,40,2,1,0.391304347826087,0.6086956521739131,0.0775,0.0675,0.22875,3.962962962962963,1.0,20,0,,False,12,1.0,22,0.0017586242756806314,0.3962962962962963,0.0,,high
normal_noise_high,6,6,heuristic,12,800,0.1,800,396,342,54,399,132,69,22,47,47,0,0,0.3188405797101449,0.6811594202898551,0.49875,0.4275,0.165,1.3636363636363635,0.0,15,2,,False,12,1.0,12,0.004802999974344857,0.13636363636363635,0.2,,high
normal_noise_high,6,6,adaptive,12,800,0.1,800,381,322,59,364,70,69,30,39,37,2,1,0.43478260869565216,0.5652173913043478,0.455,0.4025,0.0875,2.8333333333333335,1.5,16,2,,False,12,1.0,11,1.1010434997660923,0.2833333333333334,0.2,,high
normal_noise_high,7,7,sequential,12,800,0.1,800,156,56,100,64,0,58,33,25,22,3,0,0.5689655172413793,0.43103448275862066,0.08,0.07,0.0,4.333333333333333,4.0,16,2,,False,12,1.0,11,0.00024612494598841295,0.43333333333333335,0.2,,high
normal_noise_high,7,7,random,12,800,0.1,800,150,55,95,60,203,58,25,33,32,1,0,0.43103448275862066,0.5689655172413793,0.075,0.06875,0.25375,6.12,4.0,24,7,,False,12,1.0,22,0.0018887500846176408,0.6120000000000001,0.7000000000000001,,high
normal_noise_high,7,7,heuristic,12,800,0.1,800,303,221,82,265,149,58,24,34,33,1,0,0.41379310344827586,0.5862068965517241,0.33125,0.27625,0.18625,3.625,0.0,42,2,,False,12,1.0,12,0.00498962530400604,0.36250000000000004,0.2,,high
normal_noise_high,7,7,adaptive,12,800,0.1,800,360,295,65,348,74,58,26,32,30,2,0,0.4482758620689655,0.5517241379310345,0.435,0.36875,0.0925,2.576923076923077,2.0,11,2,,False,12,1.0,11,1.0973596258554608,0.2576923076923077,0.2,,high
normal_noise_high,8,8,sequential,12,800,0.1,800,171,51,120,62,0,65,34,31,27,4,0,0.5230769230769231,0.47692307692307695,0.0775,0.06375,0.0,6.176470588235294,5.0,21,2,,False,12,1.0,11,0.00026912486646324396,0.6176470588235294,0.2,,high
normal_noise_high,8,8,random,12,800,0.1,800,130,45,85,53,211,65,26,39,36,3,0,0.4,0.6,0.06625,0.05625,0.26375,7.923076923076923,5.0,28,2,,False,12,1.0,17,0.0017877497884910554,0.7923076923076924,0.2,,high
normal_noise_high,8,8,heuristic,12,800,0.1,800,376,312,64,366,126,65,24,41,39,2,0,0.36923076923076925,0.6307692307692307,0.4575,0.39,0.1575,0.75,0.0,5,2,,False,12,1.0,11,0.004838000240852125,0.07500000000000001,0.2,,high
normal_noise_high,8,8,adaptive,12,800,0.1,800,375,310,65,367,57,65,32,33,33,0,0,0.49230769230769234,0.5076923076923077,0.45875,0.3875,0.07125,2.375,2.0,10,2,,False,12,1.0,11,1.1073401248359005,0.23750000000000002,0.2,,high
normal_noise_high,9,9,sequential,12,800,0.1,800,150,52,98,58,0,62,30,32,28,4,1,0.4838709677419355,0.5161290322580645,0.0725,0.065,0.0,4.5,3.5,17,17,,False,12,1.0,11,0.0002461248732288368,0.45,1.7000000000000002,,high
normal_noise_high,9,9,random,12,800,0.1,800,155,53,102,63,195,62,25,37,34,3,1,0.4032258064516129,0.5967741935483871,0.07875,0.06625,0.24375,5.28,5.0,21,0,,False,12,1.0,46,0.001930000362335704,0.528,0.0,,high
