scenario,world_seed,agent_seed,strategy,n_channels,n_slots,slot_duration_s,total_scans,total_detections,true_positive_scans,false_positive_scans,on_target_scans,redundant_scans,n_activity_intervals,n_detected_intervals,n_missed_intervals,n_missed_never_scanned,n_missed_detector,n_censored_intervals,detection_rate,missed_detection_rate,on_target_scan_rate,scan_efficiency,redundant_scan_rate,mean_detection_delay_slots,median_detection_delay_slots,max_detection_delay_slots,time_to_first_detection_slots,emerging_discovery_delay_slots,emerging_discovery_censored,channels_covered,channel_coverage,coverage_time_slots,mean_decision_latency_ms,mean_detection_delay_s,time_to_first_detection_s,emerging_discovery_delay_s
normal,13,13,sequential,12,800,0.1,800,74,60,14,62,0,61,36,25,24,1,0,0.5901639344262295,0.4098360655737705,0.0775,0.075,0.0,5.0,5.0,11.0,5.0,,False,12,1.0,11,0.0015896251716185361,0.5,0.5,
normal,13,13,random,12,800,0.1,800,61,42,19,44,249,61,22,39,38,1,0,0.36065573770491804,0.639344262295082,0.055,0.0525,0.31125,4.0,1.5,20.0,23.0,,False,12,1.0,33,0.015525749950029423,0.4,2.3000000000000003,
normal,13,13,heuristic,12,800,0.1,800,213,199,14,209,379,61,21,40,40,0,0,0.3442622950819672,0.6557377049180327,0.26125,0.24875,0.47375,4.523809523809524,0.0,69.0,7.0,,False,12,1.0,12,0.027555000269785523,0.4523809523809524,0.7000000000000001,
normal,13,13,adaptive,12,800,0.1,800,339,335,4,346,111,61,27,34,34,0,0,0.4426229508196721,0.5573770491803278,0.4325,0.41875,0.13875,3.6666666666666665,3.0,16.0,5.0,,False,12,1.0,11,5.537660000518372,0.3666666666666667,0.5,
normal,14,14,sequential,12,800,0.1,800,74,68,6,69,0,57,34,23,22,1,0,0.5964912280701754,0.40350877192982454,0.08625,0.085,0.0,3.735294117647059,4.0,10.0,2.0,,False,12,1.0,11,0.0014228747386368923,0.3735294117647059,0.2,
normal,14,14,random,12,800,0.1,800,84,69,15,69,243,57,30,27,27,0,0,0.5263157894736842,0.47368421052631576,0.08625,0.08625,0.30375,4.133333333333334,3.5,17.0,17.0,,False,12,1.0,39,0.01544787453894969,0.4133333333333334,1.7000000000000002,
normal,14,14,heuristic,12,800,0.1,800,439,428,11,445,169,57,22,35,35,0,0,0.38596491228070173,0.6140350877192983,0.55625,0.535,0.21125,1.2727272727272727,0.0,7.0,2.0,,False,12,1.0,12,0.029821999996784143,0.1272727272727273,0.2,
normal,14,14,adaptive,12,800,0.1,800,386,375,11,386,85,57,30,27,27,0,0,0.5263157894736842,0.47368421052631576,0.4825,0.46875,0.10625,3.0,2.0,17.0,2.0,,False,12,1.0,11,5.72403887508699,0.30000000000000004,0.2,
normal,15,15,sequential,12,800,0.1,800,77,60,17,62,0,57,34,23,21,2,0,0.5964912280701754,0.40350877192982454,0.0775,0.075,0.0,3.8823529411764706,3.0,11.0,2.0,,False,12,1.0,11,0.0014851251762593165,0.38823529411764707,0.2,
normal,15,15,random,12,800,0.1,800,64,51,13,53,242,57,23,34,33,1,0,0.40350877192982454,0.5964912280701754,0.06625,0.06375,0.3025,5.130434782608695,3.0,18.0,6.0,,False,12,1.0,38,0.01602137530426262,0.5130434782608696,0.6000000000000001,
