scenario,variant,detection_rate_mean,detection_rate_std,detection_rate_count,missed_detection_rate_mean,missed_detection_rate_std,missed_detection_rate_count,mean_detection_delay_slots_mean,mean_detection_delay_slots_std,mean_detection_delay_slots_count,time_to_first_detection_slots_mean,time_to_first_detection_slots_std,time_to_first_detection_slots_count,emerging_discovery_delay_slots_mean,emerging_discovery_delay_slots_std,emerging_discovery_delay_slots_count,on_target_scan_rate_mean,on_target_scan_rate_std,on_target_scan_rate_count,scan_efficiency_mean,scan_efficiency_std,scan_efficiency_count,redundant_scan_rate_mean,redundant_scan_rate_std,redundant_scan_rate_count,channel_coverage_mean,channel_coverage_std,channel_coverage_count,coverage_time_slots_mean,coverage_time_slots_std,coverage_time_slots_count
high_activity,D_prediction_exploration_freshness_trend,0.38861389806727953,0.024207269658242086,15,0.6113861019327204,0.02420726965824211,15,11.930612700341008,1.2989276123813718,15,0.3333333333333333,0.4879500364742666,15,,,0,0.7346666666666667,0.005678646300794234,15,0.7135,0.008440971508067066,15,0.0014166666666666666,0.0015574322579474328,15,1.0,0.0,15,11.0,0.0,15
high_activity,E_full_policy,0.4137847112525489,0.03544855649524377,15,0.5862152887474512,0.03544855649524376,15,11.351535122425837,1.0983521928072053,15,0.3333333333333333,0.4879500364742666,15,,,0,0.7336666666666667,0.005010405838519154,15,0.7123333333333334,0.006595227350859391,15,0.001,0.001433028760552777,15,1.0,0.0,15,11.0,0.0,15
high_activity,F_full_policy_no_online_feedback,0.3841420490327644,0.025152908196660835,15,0.6158579509672356,0.02515290819666086,15,11.553990073207961,1.470970898365006,15,0.3333333333333333,0.4879500364742666,15,,,0,0.7394999999999999,0.005464985949531018,15,0.7191666666666666,0.007435236250129388,15,0.0008333333333333334,0.0012198750911856665,15,1.0,0.0,15,11.0,0.0,15
high_noise,A_prediction_only,0.3480880966152756,0.044752466053574726,15,0.6519119033847244,0.0447524660535747,15,4.060267819899399,1.266202147804433,15,22.266666666666666,46.8286644003842,15,,,0,0.3714166666666667,0.08690597683429956,15,0.22091666666666668,0.052749125472326436,15,0.12441666666666666,0.03426481257722536,15,1.0,0.0,15,11.0,0.0,15
high_noise,B_prediction_exploration,0.3515062876426889,0.041342392424342206,15,0.6484937123573111,0.0413423924243422,15,5.354036597862685,1.7972374805390887,15,14.933333333333334,18.648886089548416,15,,,0,0.36433333333333334,0.07834770638147676,15,0.21591666666666667,0.05249461423621973,15,0.08591666666666667,0.018018261239510263,15,1.0,0.0,15,11.0,0.0,15
high_noise,C_prediction_exploration_freshness,0.3724249044940651,0.053392400256029156,15,0.6275750955059348,0.05339240025602916,15,5.289742835800807,1.3333477297831873,15,9.2,8.495376894018802,15,,,0,0.31808333333333333,0.07961243546678107,15,0.1925,0.05154531640078605,15,0.030416666666666665,0.005253966755382705,15,1.0,0.0,15,11.0,0.0,15
high_noise,D_prediction_exploration_freshness_trend,0.38039831409624814,0.05204067889287602,15,0.619601685903752,0.05204067889287605,15,4.548970812877148,1.0273539859159695,15,9.2,8.495376894018802,15,,,0,0.32975,0.07608911598532718,15,0.19958333333333333,0.046222643131859496,15,0.03425,0.006972522601510264,15,1.0,0.0,15,11.0,0.0,15
high_noise,E_full_policy,0.3933773558595809,0.038658605227645124,15,0.6066226441404191,0.038658605227645144,15,5.338281154165212,0.8125203572452303,15,9.333333333333334,8.26063528053958,15,,,0,0.23775000000000002,0.06653442986261217,15,0.14258333333333334,0.040958021483093195,15,0.023583333333333335,0.0045036360971150964,15,1.0,0.0,15,11.0,0.0,15
high_noise,F_full_policy_no_online_feedback,0.4141938608982522,0.06266115110534257,15,0.5858061391017478,0.06266115110534258,15,5.105791658824268,0.7163750090947661,15,9.333333333333334,8.26063528053958,15,,,0,0.27166666666666667,0.08072863863114561,15,0.16258333333333336,0.05087508043751686,15,0.03133333333333334,0.008575643804791958,15,1.0,0.0,15,11.0,0.0,15
normal,A_prediction_only,0.44159384927312506,0.06582112716886246,15,0.5584061507268748,0.0658211271688625,15,3.580650123061135,0.8689180254842903,15,3.6666666666666665,2.7167908239230307,15,,,0,0.35133333333333333,0.05243079338745595,15,0.3416666666666667,0.050237531028201644,15,0.22325,0.040871641408543546,15,1.0,0.0,15,11.0,0.0,15
normal,B_prediction_exploration,0.43927202370723795,0.05119322720941411,15,0.560727976292762,0.05119322720941411,15,3.564179210755552,0.7488051590085074,15,3.6666666666666665,2.7167908239230307,15,,,0,0.3591666666666667,0.04762592956223182,15,0.3495,0.045532072683517735,15,0.185,0.023556542918809507,15,1.0,0.0,15,11.0,0.0,15
normal,C_prediction_exploration_freshness,0.4671071827756285,0.0397128075432119,15,0.5328928172243715,0.03971280754321193,15,3.269425712218816,0.7401214084426342,15,3.6666666666666665,2.7167908239230307,15,,,0,0.40075000000000005,0.049250634513679115,15,0.39008333333333334,0.04770741057539725,15,0.1355,0.016075991415772782,15,1.0,0.0,15,11.0,0.0,15
normal,D_prediction_exploration_freshness_trend,0.47436846029968915,0.040142687492588536,15,0.5256315397003108,0.040142687492588584,15,3.1048826146620265,0.6560324212927551,15,3.6666666666666665,2.7167908239230307,15,,,0,0.4049166666666667,0.050336959818899706,15,0.39291666666666664,0.049377071987869406,15,0.13633333333333333,0.01786898416917132,15,1.0,0.0,15,11.0,0.0,15
normal,E_full_policy,0.498728829579712,0.038321704493439995,15,0.501271170420288,0.03832170449344001,15,3.17923705285169,0.6904289139462066,15,3.6666666666666665,2.7167908239230307,15,,,0,0.4153333333333334,0.04051693502486984,15,0.40299999999999997,0.0388730764338066,15,0.12533333333333332,0.014130029656559042,15,1.0,0.0,15,11.0,0.0,15
normal,F_full_policy_no_online_feedback,0.4895361927633699,0.032400204992110715,15,0.5104638072366301,0.032400204992110763,15,3.0371521507646833,0.5614897518592461,15,3.6666666666666665,2.7167908239230307,15,,,0,0.40850000000000003,0.042970608726031735,15,0.39775000000000005,0.041455656171039294,15,0.13741666666666666,0.016142962494388645,15,1.0,0.0,15,11.0,0.0,15
