scenario,world_seed,agent_seed,strategy,n_channels,n_slots,slot_duration_s,total_scans,total_detections,true_positive_scans,false_positive_scans,on_target_scans,redundant_scans,n_activity_intervals,n_detected_intervals,n_missed_intervals,n_missed_never_scanned,n_missed_detector,n_censored_intervals,detection_rate,missed_detection_rate,on_target_scan_rate,scan_efficiency,redundant_scan_rate,mean_detection_delay_slots,median_detection_delay_slots,max_detection_delay_slots,time_to_first_detection_slots,emerging_discovery_delay_slots,emerging_discovery_censored,channels_covered,channel_coverage,coverage_time_slots,mean_decision_latency_ms,mean_detection_delay_s,time_to_first_detection_s,emerging_discovery_delay_s,predictor
emerging_signal,4,4,adaptive,12,800,0.1,800,459,450,9,464,19,56,36,20,20,0,0,0.6428571428571429,0.35714285714285715,0.58,0.5625,0.02375,5.027777777777778,3.0,21,1,19.0,False,12,1.0,11,3.866932000273664,0.5027777777777778,0.1,1.9000000000000001,hist_gradient_boosting
emerging_signal,5,5,adaptive,12,800,0.1,800,483,476,7,495,16,51,34,17,17,0,0,0.6666666666666666,0.3333333333333333,0.61875,0.595,0.02,4.9411764705882355,4.0,18,1,10.0,False,12,1.0,11,3.827959750269656,0.49411764705882355,0.1,1.0,hist_gradient_boosting
emerging_signal,6,6,adaptive,12,800,0.1,800,457,447,10,464,37,46,26,20,20,0,0,0.5652173913043478,0.43478260869565216,0.58,0.55875,0.04625,5.423076923076923,5.0,17,1,22.0,False,12,1.0,11,3.984128875163151,0.5423076923076924,0.1,2.2,hist_gradient_boosting
emerging_signal,7,7,adaptive,12,800,0.1,800,463,459,4,469,39,65,41,24,24,0,1,0.6307692307692307,0.36923076923076925,0.58625,0.57375,0.04875,5.0,3.0,35,1,5.0,False,12,1.0,11,3.8755348742415663,0.5,0.1,0.5,hist_gradient_boosting
emerging_signal,8,8,adaptive,12,800,0.1,800,438,428,10,441,33,55,35,20,20,0,0,0.6363636363636364,0.36363636363636365,0.55125,0.535,0.04125,4.514285714285714,2.0,30,1,15.0,False,12,1.0,11,4.006556874519447,0.45142857142857146,0.1,1.5,hist_gradient_boosting
emerging_signal,9,9,adaptive,12,800,0.1,800,452,448,4,466,33,56,37,19,18,1,1,0.6607142857142857,0.3392857142857143,0.5825,0.56,0.04125,4.648648648648648,4.0,26,8,7.0,False,12,1.0,11,4.025808499609411,0.46486486486486484,0.8,0.7000000000000001,hist_gradient_boosting
high_activity,0,0,adaptive,12,800,0.1,800,590,583,7,602,1,207,91,116,116,0,1,0.4396135265700483,0.5603864734299517,0.7525,0.72875,0.00125,7.538461538461538,5.0,27,0,,False,12,1.0,11,4.001189750633785,0.7538461538461538,0.0,,hist_gradient_boosting
high_activity,1,1,adaptive,12,800,0.1,800,596,594,2,607,0,189,84,105,104,1,2,0.4444444444444444,0.5555555555555556,0.75875,0.7425,0.0,8.535714285714286,7.5,30,0,,False,12,1.0,11,3.9032763745854027,0.8535714285714286,0.0,,hist_gradient_boosting
high_activity,2,2,adaptive,12,800,0.1,800,582,578,4,596,0,214,86,128,128,0,2,0.40186915887850466,0.5981308411214953,0.745,0.7225,0.0,9.290697674418604,7.0,35,0,,False,12,1.0,11,3.8489782502438175,0.9290697674418604,0.0,,hist_gradient_boosting
high_activity,3,3,adaptive,12,800,0.1,800,587,581,6,600,1,197,87,110,109,1,1,0.4416243654822335,0.5583756345177665,0.75,0.72625,0.00125,8.839080459770114,7.0,32,1,,False,12,1.0,11,3.9790693756367546,0.8839080459770114,0.1,,hist_gradient_boosting
high_activity,4,4,adaptive,12,800,0.1,800,578,573,5,592,0,204,90,114,113,1,0,0.4411764705882353,0.5588235294117647,0.74,0.71625,0.0,8.944444444444445,9.0,35,0,,False,12,1.0,11,4.102328874614614,0.8944444444444445,0.0,,hist_gradient_boosting
high_activity,5,5,adaptive,12,800,0.1,800,574,571,3,592,1,190,84,106,106,0,1,0.4421052631578947,0.5578947368421052,0.74,0.71375,0.00125,8.44047619047619,8.0,32,0,,False,12,1.0,11,3.9710026244938494,0.844047619047619,0.0,,hist_gradient_boosting
high_activity,6,6,adaptive,12,800,0.1,800,591,587,4,603,0,186,90,96,95,1,2,0.4838709677419355,0.5161290322580645,0.75375,0.73375,0.0,8.077777777777778,8.0,33,1,,False,12,1.0,11,3.857360750589578,0.8077777777777778,0.1,,hist_gradient_boosting
high_activity,7,7,adaptive,12,800,0.1,800,584,580,4,594,0,221,96,125,124,1,2,0.4343891402714932,0.5656108597285068,0.7425,0.725,0.0,7.895833333333333,6.0,34,1,,False,12,1.0,11,3.976581749739126,0.7895833333333333,0.1,,hist_gradient_boosting
high_activity,8,8,adaptive,12,800,0.1,800,591,588,3,602,0,213,89,124,124,0,1,0.41784037558685444,0.5821596244131455,0.7525,0.735,0.0,8.337078651685394,7.0,34,1,,False,12,1.0,11,3.882286125299288,0.8337078651685395,0.1,,hist_gradient_boosting
high_activity,9,9,adaptive,12,800,0.1,800,590,586,4,602,1,188,75,113,111,2,1,0.39893617021276595,0.601063829787234,0.7525,0.7325,0.00125,7.586666666666667,6.0,35,0,,False,12,1.0,11,3.8404439992882544,0.7586666666666667,0.0,,hist_gradient_boosting
