metric,strategy_a,strategy_b,n,mean_a,mean_b,mean_diff,cohen_d,t_statistic,t_pvalue,wilcoxon_statistic,wilcoxon_pvalue,significant_0_05,note,scenario
detection_rate,sequential,adaptive,30,0.5720438885552006,0.39646283132129895,-0.17558105723390166,-3.5511246859410304,-19.450310950033508,3.489432993955553e-18,0.0,1.862645149230957e-09,True,,dynamic
mean_detection_delay_slots,sequential,adaptive,30,4.358839490634414,7.34978145951399,2.9909419688795755,2.2755054150983747,12.463456455745362,3.5888116994586633e-13,0.0,1.862645149230957e-09,True,,dynamic
scan_efficiency,sequential,adaptive,30,0.173375,0.6311666666666667,0.4577916666666667,29.182596461480586,159.83966368523355,2.8708020554266545e-44,0.0,1.7289484360195754e-06,True,,dynamic
on_target_scan_rate,sequential,adaptive,30,0.17854166666666665,0.6516249999999999,0.4730833333333333,32.1471456878052,176.07716852615837,1.7405351860148765e-45,0.0,1.7289484360195754e-06,True,,dynamic
redundant_scan_rate,sequential,adaptive,30,0.0,0.01275,0.01275,1.363536196379318,7.468395327317464,3.1306509807388916e-08,0.0,3.7541662019094623e-06,True,,dynamic
detection_rate,random,adaptive,30,0.48865622999358044,0.39646283132129895,-0.09219339867228145,-1.9971058472948013,-10.938599222888302,8.29930415401325e-12,1.0,3.725290298461914e-09,True,,dynamic
mean_detection_delay_slots,random,adaptive,30,5.789794733260387,7.34978145951399,1.5599867262536022,1.2480115567005217,6.835640816320134,1.6566777117021579e-07,23.0,1.1920928955078125e-06,True,,dynamic
scan_efficiency,random,adaptive,30,0.17187500000000003,0.6311666666666667,0.45929166666666676,23.19797674150472,127.06055149802326,2.2106525033442083e-41,0.0,1.7333066441991056e-06,True,,dynamic
on_target_scan_rate,random,adaptive,30,0.17687499999999998,0.6516249999999999,0.47475000000000006,24.095891254522364,131.97863183293353,7.362512730740834e-42,0.0,1.7333066441991056e-06,True,,dynamic
redundant_scan_rate,random,adaptive,30,0.26487499999999997,0.01275,-0.25212500000000004,-15.44417345088628,-84.5912218107282,2.8489654025777363e-36,0.0,1.7311263949197288e-06,True,,dynamic
detection_rate,heuristic,adaptive,30,0.26677302592571567,0.39646283132129895,0.1296898053955833,2.8218003100798033,15.455636826057805,1.5484849148812652e-15,0.0,1.862645149230957e-09,True,,dynamic
mean_detection_delay_slots,heuristic,adaptive,30,4.581925547680397,7.34978145951399,2.7678559118335917,1.3316938096729694,7.293987392478767,4.932706217759876e-08,11.0,1.0244548320770264e-07,True,,dynamic
